date,always_on_equity,vix_gated_equity
2020-01-01,10000.0,10000.0
2020-01-02,10044.873500823975,10000.0
2020-01-03,10020.391536712646,9975.518035888672
2020-01-06,10018.760372161865,9973.88687133789
2020-01-07,9984.487224578857,9939.613723754883
2020-01-08,9992.64686203003,9947.773361206055
2020-01-09,10073.433757781982,10028.560256958008
2020-01-10,10088.938594818115,10044.06509399414
2020-01-13,10137.900615692139,10093.027114868164
2020-01-14,10127.291561126709,10082.418060302734
2020-01-15,10184.414363861084,10139.54086303711
2020-01-16,10194.20707321167,10149.333572387695
2020-01-17,10203.99940109253,10159.125900268555
2020-01-20,5557.523418426514,5512.649917602539
2020-01-21,10222.76809310913,10177.894592285156
2020-01-22,10258.6735496521,10213.800048828125
2020-01-23,10276.625896453857,10231.752395629883
2020-01-24,10264.386058807373,10219.512557983398
2020-01-27,10248.064113616943,10250.096019744873
2020-01-28,10209.71114730835,10211.74305343628
2020-01-29,10209.71114730835,10211.74305343628
2020-01-30,10360.676265716553,10362.708171844482
2020-01-31,10323.139644622803,10325.171550750732
2020-02-03,10337.828517913818,10339.860424041748
2020-02-04,10359.045482635498,10361.077388763428
2020-02-05,10359.860683441162,10361.892589569092
2020-02-06,10371.285320281982,10373.317226409912
2020-02-07,10387.606121063232,10389.638027191162
2020-02-10,10433.30390548706,10435.33581161499
2020-02-11,10420.247722625732,10422.279628753662
2020-02-12,10405.558849334717,10407.590755462646
2020-02-13,10421.879650115967,10423.911556243896
2020-02-14,10449.624324798584,10451.656230926514
2020-02-17,5557.523418426514,5559.555324554443
2020-02-18,10415.350414276123,10417.382320404053
2020-02-19,10434.936595916748,10436.968502044678
2020-02-20,10430.85486984253,10432.886775970459
2020-02-21,10464.31205368042,10466.34395980835
2020-02-24,10343.541027069092,10345.572933197021
2020-02-25,10275.809551239014,10277.841457366943
2020-02-26,10257.857204437256,10259.889110565186
2020-02-27,10039.976955413818,10042.008861541748
2020-02-28,9922.46863937378,9924.500545501709
2020-03-02,10120.763469696045,10122.795375823975
2020-03-03,10132.188488006592,10134.220394134521
2020-03-04,10365.572811126709,10367.604717254639
2020-03-05,10187.678218841553,10189.710124969482
2020-03-06,10066.905284881592,10068.937191009521
2020-03-09,9789.45624923706,9791.48815536499
2020-03-10,9936.34231185913,9938.37421798706
2020-03-11,9818.016506195068,9820.048412322998
2020-03-12,9405.920482635498,9407.952388763428
2020-03-13,9547.509075164795,9549.540981292725
2020-03-16,9283.266521453857,9285.298427581787
2020-03-17,9441.318965911865,9443.350872039795
2020-03-18,9249.516368865967,9251.548274993896
2020-03-19,9000.915218353271,9002.947124481201
2020-03-20,8710.329891204834,8712.361797332764
2020-03-23,8649.412799835205,8651.444705963135
2020-03-24,8804.995418548584,8807.027324676514
2020-03-25,8982.80341720581,8984.83532333374
2020-03-26,9203.418041229248,9205.449947357178
2020-03-27,9081.58614730835,9083.61805343628
2020-03-30,9261.864543914795,9263.896450042725
2020-03-31,9200.125576019287,9202.157482147217
2020-04-01,9059.45985031128,9061.491756439209
2020-04-02,9210.10224533081,9212.13415145874
2020-04-03,9200.224086761475,9202.255992889404
2020-04-06,9434.008953094482,9436.040859222412
2020-04-07,9420.837184906006,9422.869091033936
2020-04-08,9528.674861907959,9530.706768035889
2020-04-09,9625.811931610107,9627.843837738037
2020-04-10,5592.196056365967,5594.2279624938965
2020-04-13,9455.411312103271,9457.443218231201
2020-04-14,9619.226238250732,9621.258144378662
2020-04-15,9511.388942718506,9513.420848846436
2020-04-16,9469.404766082764,9471.436672210693
2020-04-17,9548.431941986084,9550.463848114014
2020-04-20,9422.483989715576,9424.515895843506
2020-04-21,9327.818462371826,9329.850368499756
2020-04-22,9352.513286590576,9354.545192718506
2020-04-23,9302.298900604248,9304.330806732178
2020-04-24,9331.934520721436,9333.966426849365
2020-04-27,9443.063137054443,9445.095043182373
2020-04-28,9439.771816253662,9441.803722381592
2020-04-29,9471.052333831787,9473.084239959717
2020-04-30,9369.799587249756,9371.831493377686
2020-05-01,9383.464908599854,9385.496814727783
2020-05-04,9345.598697662354,9347.630603790283
2020-05-05,9367.00143814087,9369.033344268799
2020-05-06,9313.494205474854,9315.526111602783
2020-05-07,9301.146411895752,9303.178318023682
2020-05-08,9425.44755935669,9427.47946548462
2020-05-11,9378.526782989502,9380.558689117432
2020-05-12,9319.256687164307,9321.288593292236
2020-05-13,9246.815967559814,9248.847873687744
2020-05-14,9227.06003189087,9229.091938018799
2020-05-15,9190.838718414307,9192.870624542236
2020-05-18,9331.604480743408,9333.636386871338
2020-05-19,9296.207904815674,9298.239810943604
2020-05-20,9407.336902618408,9409.368808746338
2020-05-21,9348.067569732666,9350.099475860596
2020-05-22,9336.54375076294,9338.57565689087
2020-05-25,5629.733371734619,5631.765277862549
2020-05-26,9423.801136016846,9425.833042144775
2020-05-27,9476.485919952393,9478.517826080322
2020-05-28,9506.1203956604,9508.15230178833
2020-05-29,9472.368717193604,9474.400623321533
2020-06-01,9536.570213317871,9538.6021194458
2020-06-02,9529.161308288574,9531.193214416504
2020-06-03,9611.478660583496,9613.510566711426
2020-06-04,9613.126609802246,9615.158515930176
2020-06-05,9709.439323425293,9711.471229553223
2020-06-08,9772.00074005127,9774.0326461792
2020-06-09,9702.030799865723,9704.062705993652
2020-06-10,9670.748756408691,9672.780662536621
2020-06-11,9417.208335876465,9419.240242004395
2020-06-12,9456.248710632324,9458.280616760254
2020-06-15,9514.395378112793,9516.427284240723
2020-06-16,9553.436897277832,9555.468803405762
2020-06-17,9537.654731750488,9539.686637878418
2020-06-18,9571.711967468262,9573.743873596191
2020-06-19,9491.136405944824,9493.168312072754
2020-06-22,9467.878959655762,9469.910865783691
2020-06-23,9459.57283782959,9461.60474395752
2020-06-24,9377.334831237793,9379.366737365723
2020-06-25,9400.594184875488,9402.626091003418
2020-06-26,9287.623832702637,9289.655738830566
2020-06-29,9353.24616241455,9355.27806854248
2020-06-30,9379.826972961426,9381.858879089355
2020-07-01,9428.687259674072,9430.719165802002
2020-07-02,9433.671161651611,9435.703067779541
2020-07-03,5705.645343780518,5707.677249908447
2020-07-06,9462.744876861572,9464.776782989502
2020-07-07,9461.083576202393,9463.115482330322
2020-07-08,9449.454471588135,9451.486377716064
2020-07-09,9353.096744537354,9355.128650665283
2020-07-10,9456.099674224854,9458.131580352783
2020-07-13,9464.405796051025,9466.437702178955
2020-07-14,9515.907642364502,9517.939548492432
2020-07-15,9559.93306350708,9561.96496963501
2020-07-16,9539.165851593018,9541.197757720947
2020-07-17,9594.820377349854,9596.852283477783
2020-07-20,9536.674091339111,9538.705997467041
2020-07-21,9626.38585281372,9628.41775894165
2020-07-22,9732.711002349854,9734.742908477783
2020-07-23,9716.09761428833,9718.12952041626
2020-07-24,9733.541843414307,9735.573749542236
2020-07-27,9732.711002349854,9734.742908477783
2020-07-28,9707.790729522705,9709.822635650635
2020-07-29,9694.499942779541,9696.53184890747
2020-07-30,9667.088291168213,9669.120197296143
2020-07-31,9629.708835601807,9631.740741729736
2020-08-03,9551.625797271729,9553.657703399658
2020-08-04,9584.02096939087,9586.052875518799
2020-08-05,9628.04829788208,9630.08020401001
2020-08-06,9649.644062042236,9651.675968170166
2020-08-07,9676.226016998291,9678.25792312622
2020-08-10,9669.579669952393,9671.611576080322
2020-08-11,9687.024280548096,9689.056186676025
2020-08-12,9728.558322906494,9730.590229034424
2020-08-13,9724.403736114502,9726.435642242432
2020-08-14,9730.219623565674,9732.251529693604
2020-08-17,9710.283634185791,9712.31554031372
2020-08-18,9727.727481842041,9729.75938796997
2020-08-19,9640.507099151611,9642.539005279541
2020-08-20,9638.845417022705,9640.877323150635
2020-08-21,9633.03105545044,9635.06296157837
2020-08-24,9690.347263336182,9692.379169464111
2020-08-25,9685.362979888916,9687.394886016846
2020-08-26,9706.130191802979,9708.162097930908
2020-08-27,9711.94493484497,9713.9768409729
2020-08-28,9844.850894927979,9846.882801055908
2020-08-31,9819.931003570557,9821.962909698486
2020-09-01,9826.675666809082,9787.905292510986
2020-09-02,9998.623146057129,9959.852771759033
2020-09-03,9939.646018981934,9942.807628631592
2020-09-04,9986.163581848145,9989.325191497803
2020-09-07,5746.447624206543,5749.609233856201
2020-09-08,9883.993019104004,9887.154628753662
2020-09-09,9915.556968688965,9918.718578338623
2020-09-10,9899.774421691895,9902.936031341553
2020-09-11,9987.824501037598,9990.986110687256
2020-09-14,9992.849220275879,9996.010829925537
2020-09-15,10021.319831848145,10024.481441497803
2020-09-16,9999.548210144043,10002.709819793701
2020-09-17,9979.452003479004,9982.613613128662
2020-09-18,9971.07721710205,9974.238826751709
2020-09-21,9857.192481994629,9860.354091644287
2020-09-22,9904.924263000488,9908.085872650146
2020-09-23,9783.502449035645,9786.664058685303
2020-09-24,9824.53409576416,9827.695705413818
2020-09-25,9826.209129333496,9829.370738983154
2020-09-28,9873.102821350098,9876.264430999756
2020-09-29,9842.956413269043,9846.118022918701
2020-09-30,9880.639518737793,9883.801128387451
2020-10-01,9905.911609649658,9867.890407562256
2020-10-02,9920.984241485596,9882.963039398193
2020-10-05,9922.658893585205,9884.637691497803
2020-10-06,9885.813877105713,9847.79267501831
2020-10-07,9937.732288360596,9899.711086273193
2020-10-08,10013.097354888916,9975.076152801514
2020-10-09,10042.405292510986,10004.384090423584
2020-10-12,10065.852710723877,10027.831508636475
2020-10-13,9992.99962234497,9954.978420257568
2020-10-14,9984.62674331665,9946.605541229248
2020-10-15,9973.739978790283,9935.71877670288
2020-10-16,9977.089282989502,9939.0680809021
2020-10-19,9942.75548171997,9904.734279632568
2020-10-20,9995.511981964111,9957.490779876709
2020-10-21,9973.739978790283,9935.71877670288
2020-10-22,10031.519290924072,9993.49808883667
2020-10-23,10018.121311187744,9980.100109100342
2020-10-26,9957.828876495361,9961.509658813477
2020-10-27,9966.204044342041,9969.884826660156
2020-10-28,9803.750965118408,9807.431747436523
2020-10-29,9808.773777008057,9812.454559326172
2020-10-30,9812.123081207275,9815.80386352539
2020-11-02,9859.01753616333,9862.698318481445
2020-11-03,9920.147678375244,9923.82846069336
2020-11-04,9905.074283599854,9908.755065917969
2020-11-05,9927.683612823486,9931.364395141602
2020-11-06,9928.520557403564,9932.20133972168
2020-11-09,10189.786502838135,10193.46728515625
2020-11-10,10307.858249664307,10311.539031982422
2020-11-11,10274.362537384033,10278.043319702148
2020-11-12,10226.6311378479,10230.311920166016
2020-11-13,10263.477298736572,10267.158081054688
2020-11-16,10296.972248077393,10300.653030395508
2020-11-17,10282.736560821533,10286.417343139648
2020-11-18,10193.134662628174,10196.815444946289
2020-11-19,10236.680194854736,10240.360977172852
2020-11-20,10198.160144805908,10201.840927124023
2020-11-23,10198.997470855713,10202.678253173828
2020-11-24,10244.217273712158,10247.898056030273
2020-11-25,10219.93176651001,10223.612548828125
2020-11-26,5787.6304359436035,5791.311218261719
2020-11-27,10200.672885894775,10204.35366821289
2020-11-30,10142.439624786377,10146.120407104492
2020-12-01,10223.493999481201,10183.255340576172
2020-12-02,10229.401439666748,10189.162780761719
2020-12-03,10285.946697235107,10245.708038330078
2020-12-04,10376.249355316162,10336.010696411133
2020-12-07,10303.669017791748,10263.430358886719
2020-12-08,10319.704097747803,10279.465438842773
2020-12-09,10332.363552093506,10292.124893188477
2020-12-10,10308.733028411865,10268.494369506836
2020-12-11,10334.050411224365,10293.811752319336
2020-12-14,10327.300304412842,10287.061645507812
2020-12-15,10375.404781341553,10335.166122436523
2020-12-16,10309.576839447021,10269.338180541992
2020-12-17,10327.300304412842,10287.061645507812
2020-12-18,10366.965908050537,10326.727249145508
2020-12-21,10288.478511810303,10248.239852905273
2020-12-22,10284.257930755615,10244.019271850586
2020-12-23,10311.265224456787,10271.026565551758
2020-12-24,10341.646617889404,10301.407958984375
2020-12-25,5831.549877166748,5791.311218261719
2020-12-28,10402.412075042725,10362.173416137695
2020-12-29,10399.879497528076,10359.640838623047
2020-12-30,10426.042598724365,10385.803939819336
2020-12-31,10459.800380706787,10419.561721801758
2021-01-01,5831.549877166748,5791.311218261719
2021-01-04,10328.785011291504,10244.019271850586
2021-01-05,10279.835960388184,10195.070220947266
2021-01-06,10139.73853302002,10054.972793579102
2021-01-07,10092.478248596191,10007.712509155273
2021-01-08,10187.000343322754,10102.234603881836
2021-01-11,10112.7320022583,10027.966262817383
2021-01-12,10105.137321472168,10020.37158203125
2021-01-13,10109.355995178223,10024.590255737305
2021-01-14,10030.868598937988,9946.10285949707
2021-01-15,9986.138984680176,9901.373245239258
2021-01-18,5876.076957702637,5791.311218261719
2021-01-19,9970.103523254395,9885.337783813477
2021-01-20,9984.451362609863,9899.685623168945
2021-01-21,10007.2388381958,9922.473098754883
2021-01-22,9968.416282653809,9883.65054321289
2021-01-25,9992.890235900879,9908.124496459961
2021-01-26,10035.932609558105,9951.166870117188
2021-01-27,9971.791145324707,9927.98254776001
2021-01-28,10024.117729187012,9980.309131622314
2021-01-29,9939.72174835205,9895.913150787354
2021-02-01,10008.487041473389,9923.763492584229
2021-02-02,10048.99645614624,9964.27290725708
2021-02-03,10032.962520599365,9948.238971710205
2021-02-04,10053.216274261475,9968.492725372314
2021-02-05,10107.230480194092,10022.506931304932
2021-02-08,10130.017192840576,10045.293643951416
2021-02-09,10111.449535369873,10026.725986480713
2021-02-10,10103.009899139404,10018.286350250244
2021-02-11,10162.087352752686,10077.363803863525
2021-02-12,10195.002086639404,10110.278537750244
2021-02-15,5916.9919090271,5832.268360137939
2021-02-16,10159.55553817749,10074.83198928833
2021-02-17,10147.739894866943,10063.016345977783
2021-02-18,10201.753337860107,10117.029788970947
2021-02-19,10146.05227279663,10061.32872390747
2021-02-22,10189.938076019287,10105.214527130127
2021-02-23,10182.341106414795,10097.617557525635
2021-02-24,10196.688564300537,10111.965015411377
2021-02-25,10151.115901947021,10066.392353057861
2021-02-26,10051.528652191162,9966.805103302002
2021-03-01,10170.442947387695,10043.606021881104
2021-03-02,10187.321838378906,10060.484912872314
2021-03-03,10177.193817138672,10050.35689163208
2021-03-04,10173.816665649414,10046.979740142822
2021-03-05,10245.553955078125,10118.717029571533
2021-03-08,10317.290100097656,10190.453174591064
2021-03-09,10251.461776733398,10124.624851226807
2021-03-10,10300.410446166992,10173.5735206604
2021-03-11,10253.149780273438,10126.312854766846
2021-03-12,10244.639953613281,10117.80302810669
2021-03-15,10301.655563354492,10174.8186378479
2021-03-16,10317.82453918457,10190.987613677979
2021-03-17,10319.525894165039,10192.688968658447
2021-03-18,10262.510284423828,10135.673358917236
2021-03-19,10282.933792114258,10156.096866607666
2021-03-22,10299.102005004883,10172.265079498291
2021-03-23,10332.291778564453,10205.454853057861
2021-03-24,10343.354019165039,10216.517093658447
2021-03-25,10385.902389526367,10259.065464019775
2021-03-26,10472.702392578125,10345.865467071533
2021-03-29,10541.632064819336,10414.795139312744
2021-03-30,10482.062896728516,10355.225971221924
2021-03-31,10444.619354248047,10317.782428741455
2021-04-01,10472.285415649414,10300.763538360596
2021-04-02,6003.790237426758,5832.268360137939
2021-04-05,10497.81527709961,10326.293399810791
2021-04-06,10530.152465820312,10358.630588531494
2021-04-07,10537.811233520508,10366.28935623169
2021-04-08,10524.194290161133,10352.672412872314
2021-04-09,10529.301025390625,10357.779148101807
2021-04-12,10543.767501831055,10372.245624542236
2021-04-13,10521.641876220703,10350.119998931885
2021-04-14,10520.791961669922,10349.270084381104
2021-04-15,10542.066146850586,10370.544269561768
2021-04-16,10571.850158691406,10400.328281402588
2021-04-19,10599.08137512207,10427.559497833252
2021-04-20,10613.548233032227,10442.026355743408
2021-04-21,10650.991394042969,10479.46951675415
2021-04-22,10636.524917602539,10465.00304031372
2021-04-23,10639.077713012695,10467.555835723877
2021-04-26,10570.148422241211,10398.626544952393
2021-04-27,10563.339950561523,10391.818073272705
2021-04-28,10564.191390991211,10392.669513702393
2021-04-29,10621.207382202148,10449.68550491333
2021-04-30,10597.380020141602,10425.858142852783
2021-05-03,10639.92839050293,10468.406513214111
2021-05-04,10610.99543762207,10439.473560333252
2021-05-05,10599.08137512207,10427.559497833252
2021-05-06,10645.035125732422,10473.513248443604
2021-05-07,10642.482711791992,10470.960834503174
2021-05-10,10676.521255493164,10504.999378204346
2021-05-11,10626.312210083008,10454.79033279419
2021-05-12,10602.484085083008,10476.949146270752
2021-05-13,10642.482711791992,10516.947772979736
2021-05-14,10661.202194213867,10535.667255401611
2021-05-17,10653.544570922852,10528.009632110596
2021-05-18,10628.015090942383,10502.480152130127
2021-05-19,10613.548233032227,10488.01329421997
2021-05-20,10654.395629882812,10528.860691070557
2021-05-21,10651.841690063477,10526.30675125122
2021-05-24,10667.15998840332,10541.625049591064
2021-05-25,10666.309310913086,10540.77437210083
2021-05-26,10686.732437133789,10561.197498321533
2021-05-27,10725.878479003906,10600.34354019165
2021-05-28,10708.857299804688,10583.322360992432
2021-05-31,6003.790237426758,5878.255298614502
2021-06-01,10755.048400878906,10582.47130203247
2021-06-02,10773.770935058594,10601.193836212158
2021-06-03,10785.68423461914,10613.107135772705
2021-06-04,10836.742813110352,10664.165714263916
2021-06-07,10819.723922729492,10647.146823883057
2021-06-08,10786.536056518555,10613.95895767212
2021-06-09,10772.067291259766,10599.49019241333
2021-06-10,10808.66130065918,10636.084201812744
2021-06-11,10829.935485839844,10657.358386993408
2021-06-14,10813.644821166992,10641.067722320557
2021-06-15,10801.641494750977,10629.064395904541
2021-06-16,10738.194305419922,10565.617206573486
2021-06-17,10762.202102661133,10589.625003814697
2021-06-18,10661.029846191406,10488.45274734497
2021-06-21,10711.615020751953,10539.037921905518
2021-06-22,10728.763229370117,10556.186130523682
2021-06-23,10691.037780761719,10518.460681915283
2021-06-24,10714.187271118164,10541.610172271729
2021-06-25,10708.18637084961,10535.609272003174
2021-06-28,10703.041488647461,10530.464389801025
2021-06-29,10668.74545288086,10496.168354034424
2021-06-30,10690.180618286133,10517.603519439697
2021-07-01,10723.58423614502,10504.742267608643
2021-07-02,10742.447532653809,10523.605564117432
2021-07-05,6097.097267150879,5878.255298614502
2021-07-06,10716.724266052246,10497.88229751587
2021-07-07,10754.45124053955,10535.609272003174
2021-07-08,10738.160194396973,10519.318225860596
2021-07-09,10766.454566955566,10547.61259841919
2021-07-12,10768.168891906738,10549.326923370361
2021-07-13,10814.467491149902,10595.625522613525
2021-07-14,10920.78539276123,10701.943424224854
2021-07-15,10936.216987609863,10717.375019073486
2021-07-16,10932.788719177246,10713.94675064087
2021-07-19,10875.342430114746,10656.50046157837
2021-07-20,10883.917106628418,10665.075138092041
2021-07-21,10945.649589538574,10726.807621002197
2021-07-22,10938.790382385254,10719.948413848877
2021-07-23,10985.088981628418,10766.247013092041
2021-07-26,10989.377082824707,10770.53511428833
2021-07-27,11006.524147033691,10787.682178497314
2021-07-28,10961.9398727417,10743.097904205322
2021-07-29,10988.517631530762,10769.675662994385
2021-07-30,10986.803688049316,10767.96171951294
2021-08-02,10973.942436218262,10755.100467681885
2021-08-03,10977.372230529785,10758.530261993408
2021-08-04,10907.06697845459,10688.225009918213
2021-08-05,10941.361869812012,10722.519901275635
2021-08-06,10953.365196228027,10734.52322769165
2021-08-09,10954.223121643066,10735.38115310669
2021-08-10,10967.083610534668,10748.241641998291
2021-08-11,10961.08194732666,10742.239978790283
2021-08-12,10970.513786315918,10751.671817779541
2021-08-13,11003.951133728027,10785.10916519165
