cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-664.1079425811768,,,,,2020-01-03,,,,6.641079425811768,,,100,,F,buy_lot
-1863.4342193603516,,,,,2020-01-03,,,,18.634342193603516,,,100,,T,buy_lot
-2644.0690994262695,,,,,2020-01-03,,,,26.440690994262695,,,100,,PFE,buy_lot
-2964.6387100219727,,,,,2020-01-03,,,,29.646387100219727,,,100,,BAC,buy_lot
-465.9375071525574,,,,,2020-01-03,,,,6.641079425811768,,,70.1599058342242,,F,buy_directional
-465.9375071525574,,,,,2020-01-03,,,,18.634342193603516,,,25.004236925116498,,T,buy_directional
-465.9375071525574,,,,,2020-01-03,,,,29.646387100219727,,,15.71650216862695,,BAC,buy_directional
-465.9375071525574,,,,,2020-01-06,,,,26.406728744506836,,,17.644650788086818,,PFE,buy_directional
28.670328341657836,,,,,2020-02-03,2020-03-07,28.670328341657836,,,,,,27,PFE,write_cc
24.489136117701893,,,,,2020-02-03,2020-03-07,24.489136117701893,,,,,,29,BAC,write_cc
17.392755752725986,,,,,2020-02-04,2020-03-08,17.392755752725986,,,,,,19.0,T,write_cc
19.146348565088545,,,,,2020-02-07,2020-03-11,19.146348565088545,,,,,,6.125772981643677,F,write_cc
-6.538180874803157,6.538180874803157,,,,2020-02-14,2020-03-07,,28.670328341657836,,22.13214746685468,,,27,PFE,btc_call
33.454255898805485,,,,,2020-02-14,2020-03-18,33.454255898805485,,,,,,26,PFE,write_cc
-2.9851703017336972,2.9851703017336972,,,,2020-02-24,2020-03-11,,19.146348565088545,,16.16117826335485,,,6.125772981643677,F,btc_call
-4.477123993577203,4.477123993577203,,,,2020-02-24,2020-03-18,,33.454255898805485,,28.977131905228283,,,26,PFE,btc_call
25.179510878052813,,,,,2020-02-24,2020-03-28,25.179510878052813,,,,,,25.0,PFE,write_cc
-2.8427505946063913,2.8427505946063913,,,,2020-02-25,2020-03-07,,24.489136117701893,,21.646385523095503,,,29,BAC,btc_call
