cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-664.1078472137451,,,,,2020-01-03,,,,6.641078472137451,,,100,,F,buy_lot
-1863.4342193603516,,,,,2020-01-03,,,,18.634342193603516,,,100,,T,buy_lot
-2644.0689086914062,,,,,2020-01-03,,,,26.440689086914062,,,100,,PFE,buy_lot
-2964.638137817383,,,,,2020-01-03,,,,29.646381378173828,,,100,,BAC,buy_lot
-465.93772172927856,,,,,2020-01-03,,,,6.641078472137451,,,70.15994821987326,,F,buy_directional
-465.93772172927856,,,,,2020-01-03,,,,18.634342193603516,,,25.00424844023836,,T,buy_directional
-465.93772172927856,,,,,2020-01-03,,,,29.646381378173828,,,15.716512439940136,,BAC,buy_directional
-465.93772172927856,,,,,2020-01-06,,,,26.40673065185547,,,17.644657639454486,,PFE,buy_directional
15.218653978580043,,,,,2020-02-05,2020-03-09,15.218653978580043,,,,,,28.284465179443362,PFE,write_cc
-2.726160711017367,2.726160711017367,,,,2020-02-13,2020-03-09,,15.218653978580043,,12.492493267562676,,,28.284465179443362,PFE,btc_call
22.123571875386983,,,,,2020-02-24,2020-03-28,22.123571875386983,,,,,,30.027284774780277,BAC,write_cc
-6.5998108331565275,6.5998108331565275,,,,2020-02-26,2020-03-28,,22.123571875386983,,15.523761042230454,,,30.027284774780277,BAC,btc_call
15.594543475376188,,,,,2020-02-26,2020-03-30,15.594543475376188,,,,,,25.727983016967777,PFE,write_cc
30.25075125226273,,,,,2020-02-26,2020-03-30,30.25075125226273,,,,,,28.100694122314454,BAC,write_cc
-3.355218367773416,3.355218367773416,,,,2020-02-27,2020-03-30,,15.594543475376188,,12.239325107602772,,,25.727983016967777,PFE,btc_call
-8.891478720019542,8.891478720019542,,,,2020-02-28,2020-03-30,,30.25075125226273,,21.35927253224319,,,28.100694122314454,BAC,btc_call
36.684096857411404,,,,,2020-02-28,2020-04-01,36.684096857411404,,,,,,26.146584777832032,BAC,write_cc
15.398648349452149,,,,,2020-03-02,2020-04-04,15.398648349452149,,,,,,19.497410430908204,T,write_cc
17.27120841592784,,,,,2020-03-02,2020-04-04,17.27120841592784,,,,,,25.846540603637695,PFE,write_cc
16.422863704836278,,,,,2020-03-04,2020-04-06,16.422863704836278,,,,,,5.5,F,write_cc
-6.863388275205695,6.863388275205695,,,,2020-03-06,2020-04-01,,36.684096857411404,,29.82070858220571,,,26.146584777832032,BAC,btc_call
-1.8736047164407188,1.8736047164407188,,,,2020-03-06,2020-04-06,,16.422863704836278,,14.54925898839556,,,5.5,F,btc_call
47.367181165627684,,,,,2020-03-06,2020-04-08,47.367181165627684,,,,,,23.737472534179688,BAC,write_cc
